SAMEA104394489	ERR2199880,ERR2199881	1
SAMEA110037905	ERR9807021	1
SAMEA11006571	ERR7361908	1
SAMEA11006572	ERR7361909	1
SAMEA11006573	ERR7361910	1
SAMEA11006574	ERR7361911	1
SAMEA11006575	ERR7361912	1
SAMEA11006576	ERR7361913	1
SAMEA11006577	ERR7361914	1
SAMEA11006578	ERR7361915	1
SAMEA11006579	ERR7361916	1
SAMEA11006580	ERR7361917	1
SAMEA11006581	ERR7361918	1
SAMEA11006582	ERR7361919	1
SAMEA11006583	ERR7361920	1
SAMEA11006584	ERR7361921	1
SAMEA11006585	ERR7361922	1
SAMEA11006586	ERR7361923	1
SAMEA11006598	ERR7361935	1
SAMEA11006600	ERR7361937	1
SAMEA11006631	ERR7361968	1
SAMEA11006705	ERR7362041	1
SAMEA11006706	ERR7362042	1
SAMEA11006707	ERR7362043	1
SAMEA11006708	ERR7362044	1
SAMEA11006709	ERR7362045	1
SAMEA11006710	ERR7362046	1
SAMEA11006711	ERR7362047	1
SAMEA12320550	ERR8025354	1
SAMEA12320551	ERR8025355	1
SAMEA2533642	ERR551023,ERR551024	1
SAMEA2533665	ERR551055,ERR551056,ERR551057	1
SAMEA2533757	ERR551179,ERR551180,ERR551181,ERR551182	1
SAMEA2534135	ERR551709,ERR551710,ERR551711	1
SAMEA2534321	ERR551965,ERR551966,ERR551967,ERR868539	1
SAMEA2534462	ERR552172,ERR552173,ERR552174	1
SAMEA2534556	ERR552304,ERR552305,ERR552306,ERR552307	1
SAMEA2534569	ERR552328,ERR552329,ERR552330	1
SAMEA2534671	ERR552470,ERR552471,ERR552472	1
SAMEA2534701	ERR552515,ERR552516	1
SAMEA2534891	ERR552768,ERR552769	1
SAMEA2535172	ERR553146	1
SAMEA5854652	ERR3470666	1
SAMEA6086630	ERR7451300,ERR7451301	1
SAMEA6797468	ERR4050135	1
SAMEA6797469	ERR4050136	1
SAMEA6797470	ERR4050137	1
SAMEA6797471	ERR4050138	1
SAMEA6797472	ERR4050139	1
SAMEA9992748	ERR6929513	1
SAMEA9992749	ERR6929514	1
SAMEA9992750	ERR6929515	1
SAMEA9992751	ERR6929516	1
SAMEA9992752	ERR6929517	1
SAMEA9992753	ERR6929518	1
SAMEA9992754	ERR6929519	1
SAMEA9992755	ERR6929520	1
SAMEA9992757	ERR6929522	1
SAMEA9992760	ERR6929525	1
SAMEA9992761	ERR6929526	1
SAMEA9992762	ERR6929527	1
SAMEA9992763	ERR6929528	1
SAMEA9992764	ERR6929529	1
SAMEA9992765	ERR6929530	1
SAMEA9992768	ERR6929533	1
SAMEA9992769	ERR6929534	1
SAMN07344637	SRR5818653	1
SAMN07344711	SRR5818567	1
SAMN11179693	SRR8758894	1
SAMN11179694	SRR8758895	1
SAMN11179696	SRR8758893	1
SAMN11179697	SRR8758890	1
SAMN11179698	SRR8758891	1
SAMN11179699	SRR8758888	1
SAMN11179700	SRR8758889	1
SAMN11179701	SRR8758896	1
SAMN11179702	SRR8758897	1
SAMN11179703	SRR8758886	1
SAMN11179704	SRR8758887	1
SAMN11179705	SRR8758884	1
SAMN11179706	SRR8758885	1
SAMN11179707	SRR8758882	1
SAMN11179708	SRR8758883	1
SAMN11179709	SRR8758880	1
SAMN11179710	SRR8758881	1
SAMN11179711	SRR8758878	1
SAMN11179713	SRR8758877	1
SAMN12838340	SRR10177263	1
SAMN12838341	SRR10177262	1
SAMN12838343	SRR10177260	1
SAMN12838344	SRR10177259	1
SAMN12838345	SRR10177258	1
SAMN13337516	SRR10500312	1
SAMN13337517	SRR10500311	1
SAMN13337518	SRR10500310	1
SAMN13337520	SRR10500308	1
SAMN13337522	SRR10500306	1
SAMN13337525	SRR10500315	1
SAMN13337526	SRR10500314	1
SAMN13337527	SRR10500313	1
SAMN14396398	SRR11342379	1
SAMN26553904	SRR18289203	1
SAMN41685629	SRR29289188	1
SAMN29500382	SRR19977732	1
SAMN41455340	SRR29094414	1
TB_R29153_GC_S25_L001	TB_R29153_GC_S25_L001	0
TB_R31038_GCRpt_S4_L001	TB_R31038_GCRpt_S4_L001	0
TB_R35991_WGS_S42_L001	TB_R35991_WGS_S42_L001	0
TB_R36431c_S5_L001	TB_R36431c_S5_L001	0
TB_R37020_WGS_S52_L001	TB_R37020_WGS_S52_L001	0
TB_R37761c_S50_L001	TB_R37761c_S50_L001	0
TB_R37762_WGS_S43_L001	TB_R37762_WGS_S43_L001	0
TB_R37765GC_S17_L001	TB_R37765GC_S17_L001	0
TB_R37769_GC_3_S23_L001	TB_R37769_GC_3_S23_L001	0
TB_R38565_S8_L001	TB_R38565_S8_L001	0
TB_R38569_S21_L001	TB_R38569_S21_L001	0
TB_R38634_WGS_S51_L001	TB_R38634_WGS_S51_L001	0
TB_R39467GC_S6_L001	TB_R39467GC_S6_L001	0
TB_R39661c_S8_L001	TB_R39661c_S8_L001	0
TB_R40496_WGS_S35_L001	TB_R40496_WGS_S35_L001	0
TB_R41483GC_S49_L001	TB_R41483GC_S49_L001	0
TB_R42385_S4_L001	TB_R42385_S4_L001	0
TB_R42473_WGS_S36_L001	TB_R42473_WGS_S36_L001	0
TB_R42475_WGS_S37_L001	TB_R42475_WGS_S37_L001	0
TB_R42658_WGS_S38_L001	TB_R42658_WGS_S38_L001	0
TB_R43687_WGS_S32_L001	TB_R43687_WGS_S32_L001	0
TB_R44933_WGS_S39_L001	TB_R44933_WGS_S39_L001	0
TB_R45555_S24_L001	TB_R45555_S24_L001	0
TB_R45699_S21_L001	TB_R45699_S21_L001	0
TB_R47433_WGS_S55_L001	TB_R47433_WGS_S55_L001	0
TB_R47436_WGS_S56_L001	TB_R47436_WGS_S56_L001	0
TB_R47564_WGS_S29_L001	TB_R47564_WGS_S29_L001	0
TB_R47591_GCB1_S22_L001	TB_R47591_GCB1_S22_L001	0
TB_R47661_GCB1_S18_L001	TB_R47661_GCB1_S18_L001	0
TB_R47732_WGS_S57_L001	TB_R47732_WGS_S57_L001	0
TB_R48400_WGS_S48_L001	TB_R48400_WGS_S48_L001	0
TB_R48864_S16_L001	TB_R48864_S16_L001	0
TB_R49377_S11_L001	TB_R49377_S11_L001	0
TB_R49477_WGS_S30_L001	TB_R49477_WGS_S30_L001	0
TB_R50530_WGS_S58_L001	TB_R50530_WGS_S58_L001	0
TB_R50539_WGS_S44_L001	TB_R50539_WGS_S44_L001	0
TB_R50912_WGS_S40_L001	TB_R50912_WGS_S40_L001	0
TB_R51042_GCB1_S16_L001	TB_R51042_GCB1_S16_L001	0
TB_R52719_WGS_S33_L001	TB_R52719_WGS_S33_L001	0
TB_R52901_WGS_S49_L001	TB_R52901_WGS_S49_L001	0
TB_R54261_WGS_S31_L001	TB_R54261_WGS_S31_L001	0
TB_R56325_S2_L001	TB_R56325_S2_L001	0
TB_TM2152_S7_L001	TB_TM2152_S7_L001	0
TB_TM2379_WGS_S54_L001	TB_TM2379_WGS_S54_L001	0
TB_TM2857_WGS_S46_L001	TB_TM2857_WGS_S46_L001	0
TB_TM2993_WGS_S41_L001	TB_TM2993_WGS_S41_L001	0
TB_TM946_S22_L001	TB_TM946_S22_L001	0
